     35 'articles/2014/12/mes-bookmarks-migrent-de-diigo-vers-pinboard/';'articles/2014/12/23/mes-bookmarks-migrent-de-diigo-vers-pinboard/'
     35 '2016/07/tout-change-rien-ne-change.html';'articles/2016/07/tout-change-rien-ne-change/'
     34 'tags/download.html';'tags/download/'
     34 'robots.txt';'atom.xml'
     34 'favicon.jpg';'/.well-known/favicon.jpg';articles/2016/08/23/faciliteur-ou-facilitateur/
     34 'articles/2011/03/quand-mozilla-pose-une-question-a-son-utilisateur-ce-n-est-pas-pour-qu-il-fasse-un-choix/';'articles/2011/03/30/quand-mozilla-pose-une-question-a-son-utilisateur-ce-n-est-pas-pour-qu-il-fasse-un-choix/'
     34 '2004/08/l-accessibilite-c-est-aussi-pour-les-handicapes.html';'articles/2004/08/l-accessibilite-c-est-aussi-pour-les-handicapes/'
     33 'atom.xml';'feeds/articles.xml';http://nicolas-hoizey.com/atom.xml
     33 'articles/2008/06/tineye-un-systeme-bluffant-de-reconnaissance-d-images-sur-internet/';'articles/2008/06/03/tineye-un-systeme-bluffant-de-reconnaissance-d-images-sur-internet/'
     33 'articles/2008/06/google-s-emmele-les-pinceaux/';'articles/2008/06/09/google-s-emmele-les-pinceaux/'
     33 '2017/11/medium-is-only-an-edge-server-of-your-posse-cdn-your-own-blog-is-the-origin.html';'articles/2017/11/medium-is-only-an-edge-server-of-your-posse-cdn-your-own-blog-is-the-origin/';https://indieweb.org/POSSE
     33 '2015/01/sony-rx100-iii-mon-excellent-nouveau-compact-expert-toujours-en-poche.html';'articles/2015/01/sony-rx100-iii-mon-excellent-nouveau-compact-expert-toujours-en-poche/'
     32 'blog/';'http://nicolas-hoizey.com/'
     32 'articles/2015/01/sony-rx100-iii-mon-excellent-nouveau-compact-expert-toujours-en-poche/';'articles/2015/01/08/sony-rx100-iii-mon-excellent-nouveau-compact-expert-toujours-en-poche/'
     32 'articles/2013/09/gerer-des-commentaires-sur-un-blog-statique/';'articles/2013/09/12/gerer-des-commentaires-sur-un-blog-statique/'
     32 '2013/11/olympus-om-d-e-m1.html';'articles/2013/11/olympus-om-d-e-m1/'
     31 'robots.txt';'/.well-known/robots.txt';links/
     31 'articles/2008/07/faut-il-que-je-revienne-a-un-unique-flux-rss/';'articles/2008/07/10/faut-il-que-je-revienne-a-un-unique-flux-rss/'
     30 '2014/11/suggestions-de-sujets-et-orateurs-pour-paris-web-2015.html';'articles/2014/11/suggestions-de-sujets-et-orateurs-pour-paris-web-2015/'
     29 'favicon.jpg';'/.well-known/favicon.jpg';articles/2020/05/05/jamstack-is-fast-only-if-you-make-it-so/?ref=heydesigner
     29 'articles/2014/04/l-excellent-sav-de-truffaut-via-twitter/';'articles/2014/04/23/l-excellent-sav-de-truffaut-via-twitter/'
     29 'articles/2013/10/ma-conference-a-paris-web-2013/';'articles/2013/10/24/ma-conference-a-paris-web-2013/'
     29 'articles/2013/02/mise-a-jour-de-ma-politique-de-sauvegarde/';'articles/2013/02/06/mise-a-jour-de-ma-politique-de-sauvegarde/';https://nicolas-hoizey.com/2013/02/mise-a-jour-de-ma-politique-de-sauvegarde.html
     29 '2015/06/un-moteur-de-recherche-sur-un-site-statique-facile-avec-algolia.html';'2015/06/la-recherche-dans-du-statique-facile-avec-algolia.html'
     29 '2014/12/mes-bookmarks-migrent-de-diigo-vers-pinboard.html';'articles/2014/12/mes-bookmarks-migrent-de-diigo-vers-pinboard/'
     29 '2013/10/ma-conference-a-paris-web-2013.html';'articles/2013/10/ma-conference-a-paris-web-2013/'
     28 '';'atom.xml'
     28 'articles/2018/07/leaving-500px/';'articles/2018/07/02/leaving-500px/'
     28 'articles/2018/07/lapeyre-y-en-a-pas-deux-j-espere/';'articles/2018/07/17/lapeyre-y-en-a-pas-deux-j-espere/'
     28 'articles/2018/03/optimiser-la-performance-des-images-responsives/';'articles/2018/03/30/optimiser-la-performance-des-images-responsives/'
     28 'articles/2008/12/quel-sac-photo-pour-un-reflex-et-ses-accessoires/';'articles/2008/12/16/quel-sac-photo-pour-un-reflex-et-ses-accessoires/'
     28 'articles/2008/07/la-sortie-de-l-iphone-3g-repoussee-en-france-pour-raison-d-etat/';'articles/2008/07/08/la-sortie-de-l-iphone-3g-repoussee-en-france-pour-raison-d-etat/'
     28 '2017/10/chrome-fails-showing-big-emojis.html';'articles/2017/10/chrome-fails-showing-big-emojis/'
     28 '2013/09/gerer-des-commentaires-sur-un-blog-statique.html';'articles/2013/09/gerer-des-commentaires-sur-un-blog-statique/'
     27 'links/2019/01/on-the-importance-of-testing-with-content-blockers/';'links/2019/01/07/on-the-importance-of-testing-with-content-blockers/'
     27 'articles/2015/02/viewport-height-is-taller-than-the-visible-part-of-the-document-in-some-mobile-browsers/';'articles/2015/02/18/viewport-height-is-taller-than-the-visible-part-of-the-document-in-some-mobile-browsers/';https://www.npmjs.com/package/react-div-100vh
     27 'articles/2015/01/quelle-version-du-dock-thunderbolt-belkin-choisir/';'articles/2015/01/27/quelle-version-du-dock-thunderbolt-belkin-choisir/'
     27 'articles/2003/12/fhm-blah-blah-blah/';'articles/2003/12/31/fhm-blah-blah-blah/'
     27 '2015/02/viewport-height-is-taller-than-the-visible-part-of-the-document-in-some-mobile-browsers.html';'articles/2015/02/viewport-height-is-taller-than-the-visible-part-of-the-document-in-some-mobile-browsers/';https://www.npmjs.com/package/react-div-100vh
     27 '2011/03/quand-mozilla-pose-une-question-a-son-utilisateur-ce-n-est-pas-pour-qu-il-fasse-un-choix.html';'articles/2011/03/quand-mozilla-pose-une-question-a-son-utilisateur-ce-n-est-pas-pour-qu-il-fasse-un-choix/'
     27 '2008/07/faut-il-que-je-revienne-a-un-unique-flux-rss.html';'articles/2008/07/faut-il-que-je-revienne-a-un-unique-flux-rss/'
